original_province,standardized_province
Long An Province,Long An
Trà Vinh Province,Trà Vinh
Bắc Giang Province,Bắc Giang
Phú Thọ Province,Phú Thọ
Thanh Hóa Province,Thanh Hóa
Hà Tĩnh Province,Hà Tĩnh
Hải Dương Province,Hải Dương
Kiên Giang Province,Kiên Giang
Sóc Trăng Province,Sóc Trăng
Bến Tre Province,Bến Tre
Điện Biên Province,Điện Biên
Lạng Sơn Province,Lạng Sơn
Quảng Ninh Province,Quảng Ninh
Nghệ An Province,Nghệ An
Hanoi,Hà Nội
Đồng Nai Province,Đồng Nai
Bình Định Province,Bình Định
Tiền Giang Province,Tiền Giang
Lâm Đồng Province,Lâm Đồng
Ho Chi Minh City,Hồ Chí Minh
Vĩnh Long Province,Vĩnh Long
Thái Bình Province,Thái Bình
Bình Dương Province,Bình Dương
Haiphong,Hải Phòng
Đắk Lắk Province,Đắk Lắk
Khánh Hòa Province,Khánh Hòa
Bà Rịa–Vũng Tàu Province,Bà Rịa - Vũng Tàu
Ninh Thuận Province,Ninh Thuận
Bạc Liêu Province,Bạc Liêu
Sơn La Province,Sơn La
Phú Yên Province,Phú Yên
Quảng Ngãi Province,Quảng Ngãi
Ninh Bình Province,Ninh Bình
Da Nang,Đà Nẵng
Đồng Tháp Province,Đồng Tháp
An Giang Province,An Giang
Lào Cai Province,Lào Cai
Cần Thơ,Cần Thơ
Bình Thuận Province,Bình Thuận
Gia Lai Province,Gia Lai
Tây Ninh Province,Tây Ninh
Vĩnh Phúc Province,Vĩnh Phúc
Thừa Thiên–Huế Province,Thừa Thiên Huế
Cà Mau Province,Cà Mau
Thái Nguyên Province,Thái Nguyên
Bắc Ninh Province,Bắc Ninh
